project_id,venue_id
https://openalex.org/W2981731882,https://openalex.org/S7560371
https://openalex.org/W3017131514,https://openalex.org/S2485537415
https://openalex.org/W2969625533,https://openalex.org/S189354248
https://openalex.org/W2950865323,https://openalex.org/S68686220
https://openalex.org/W4247155454,https://openalex.org/S46763546
https://openalex.org/W4366262984,https://openalex.org/S7560371
https://openalex.org/W2770717476,https://openalex.org/S119620556
https://openalex.org/W4366783381,https://openalex.org/S4210201537
https://openalex.org/W4360836968,https://openalex.org/S4306400194
https://openalex.org/W3113317199,https://openalex.org/S2764386229
https://openalex.org/W2337155942,https://openalex.org/S171267539
https://openalex.org/W2910707576,https://openalex.org/S152101599
https://openalex.org/W3033928040,https://openalex.org/S29875816
https://openalex.org/W2969912247,https://openalex.org/S4210180872
https://openalex.org/W3156614709,https://openalex.org/S207319443
https://openalex.org/W3182546273,https://openalex.org/S2505707916
https://openalex.org/W2778051509,https://openalex.org/S77047749
https://openalex.org/W2975103258,https://openalex.org/S123019304
https://openalex.org/W4304014045,https://openalex.org/S25671836
https://openalex.org/W3090117266,https://openalex.org/S137519996
https://openalex.org/W4392447866,https://openalex.org/S4220651275
https://openalex.org/W3044960932,https://openalex.org/S122814990
https://openalex.org/W4229082339,https://openalex.org/S165559636
https://openalex.org/W2792315573,https://openalex.org/S105282323
https://openalex.org/W4389365236,https://openalex.org/S2738008561
https://openalex.org/W4381889731,https://openalex.org/S4210232664
https://openalex.org/W2924260403,https://openalex.org/S125754415
https://openalex.org/W3124990081,https://openalex.org/S2809516038
https://openalex.org/W2032568497,https://openalex.org/S168738021
https://openalex.org/W2921123283,https://openalex.org/S23254222
https://openalex.org/W4319831789,https://openalex.org/S93630570
https://openalex.org/W1551377873,https://openalex.org/S4306463230
https://openalex.org/W4220863497,https://openalex.org/S4210220416
https://openalex.org/W4386222752,https://openalex.org/S4210172076
https://openalex.org/W3209912268,https://openalex.org/S4210201537
https://openalex.org/W3212941463,https://openalex.org/S90422530
https://openalex.org/W3092843175,https://openalex.org/S10134376
https://openalex.org/W3097904695,https://openalex.org/S3035462843
https://openalex.org/W3164394298,https://openalex.org/S4210239500
https://openalex.org/W2767479331,https://openalex.org/S2809516038
https://openalex.org/W4283392904,https://openalex.org/S172073041
https://openalex.org/W3037880470,https://openalex.org/S92709572
https://openalex.org/W3017157646,https://openalex.org/S144725990
https://openalex.org/W3173591405,https://openalex.org/S4210187594
https://openalex.org/W1662133657,https://openalex.org/S139930977
https://openalex.org/W2019377098,https://openalex.org/S192051125
https://openalex.org/W3111221273,https://openalex.org/S2485537415
https://openalex.org/W4383913712,https://openalex.org/S113497174
https://openalex.org/W4291972732,https://openalex.org/S157921468
https://openalex.org/W4410309438,https://openalex.org/S64187185
https://openalex.org/W4304185479,https://openalex.org/S4210234670
https://openalex.org/W2804354698,https://openalex.org/S17147534
https://openalex.org/W3023126697,https://openalex.org/S2764970645
https://openalex.org/W4401587065,https://openalex.org/S110206669
https://openalex.org/W3125258100,https://openalex.org/S172073041
https://openalex.org/W3043941844,https://openalex.org/S193263997
https://openalex.org/W2017561954,https://openalex.org/S4210180872
https://openalex.org/W3034560014,https://openalex.org/S2485537415
https://openalex.org/W4386607677,https://openalex.org/S186543748
https://openalex.org/W4385484319,https://openalex.org/S160573970
https://openalex.org/W4313527987,https://openalex.org/S165559636
https://openalex.org/W4386285839,https://openalex.org/S2738355984
https://openalex.org/W3004368638,https://openalex.org/S125754415
https://openalex.org/W3034272367,https://openalex.org/S68497187
https://openalex.org/W2061438946,https://openalex.org/S16540516
https://openalex.org/W4401819987,https://openalex.org/S4210236180
https://openalex.org/W4229447215,https://openalex.org/S2739142469
https://openalex.org/W2001898186,https://openalex.org/S4306480736
https://openalex.org/W3214839373,https://openalex.org/S10134376
https://openalex.org/W4389885061,https://openalex.org/S4210179121
https://openalex.org/W4323035719,https://openalex.org/S202381698
https://openalex.org/W4234956358,https://openalex.org/S4210202610
https://openalex.org/W4205154488,https://openalex.org/S61699894
https://openalex.org/W2072459226,https://openalex.org/S178238111
https://openalex.org/W4220747243,https://openalex.org/S136120998
https://openalex.org/W2138793275,https://openalex.org/S4210177645
https://openalex.org/W4303449037,https://openalex.org/S2737427234
https://openalex.org/W2924281192,https://openalex.org/S4210204056
https://openalex.org/W3115247823,https://openalex.org/S17537316
https://openalex.org/W4280525959,https://openalex.org/S4210205812
https://openalex.org/W4393045038,https://openalex.org/S77047749
https://openalex.org/W4321506460,https://openalex.org/S2736881203
https://openalex.org/W4307968550,https://openalex.org/S4210167893
https://openalex.org/W3014834477,https://openalex.org/S10134376
https://openalex.org/W3011363941,https://openalex.org/S4210190517
https://openalex.org/W4405211386,https://openalex.org/S110346167
https://openalex.org/W4294691140,https://openalex.org/S2485537415
https://openalex.org/W4210617107,https://openalex.org/S109387254
https://openalex.org/W3184078521,https://openalex.org/S2484288132
https://openalex.org/W4312220284,https://openalex.org/S39307421
https://openalex.org/W4391848979,https://openalex.org/S7560371
https://openalex.org/W4378882744,https://openalex.org/S101949793
https://openalex.org/W2049934619,https://openalex.org/S196139623
https://openalex.org/W4387767134,https://openalex.org/S4210228708
https://openalex.org/W3129964628,https://openalex.org/S2497301991
https://openalex.org/W3158012516,https://openalex.org/S4210200381
https://openalex.org/W4403158403,https://openalex.org/S132829192
https://openalex.org/W3011648816,https://openalex.org/S198098182
https://openalex.org/W2999885075,https://openalex.org/S23735784
https://openalex.org/W4225000412,https://openalex.org/S4210232664
https://openalex.org/W3013772641,https://openalex.org/S139930977
https://openalex.org/W4200570922,https://openalex.org/S125977778
https://openalex.org/W4293718192,https://openalex.org/S4306400562
https://openalex.org/W3125997628,https://openalex.org/S2485537415
https://openalex.org/W3181472047,https://openalex.org/S70979639
https://openalex.org/W3112597358,https://openalex.org/S4210222123
https://openalex.org/W4353091694,https://openalex.org/S64187185
https://openalex.org/W4384155367,https://openalex.org/S3880285
https://openalex.org/W4380628716,https://openalex.org/S88719806
https://openalex.org/W4392866787,https://openalex.org/S4210232537
https://openalex.org/W4206780588,https://openalex.org/S122814990
https://openalex.org/W2884430236,https://openalex.org/S137773608
https://openalex.org/W4391830676,https://openalex.org/S93284759
https://openalex.org/W3165783357,https://openalex.org/S4210170699
https://openalex.org/W4283318215,https://openalex.org/S4210190517
https://openalex.org/W2929026486,https://openalex.org/S157664895
https://openalex.org/W4403405969,https://openalex.org/S110447773
https://openalex.org/W4403402994,https://openalex.org/S30283931
https://openalex.org/W4307807507,https://openalex.org/S4210198803
https://openalex.org/W2808102992,https://openalex.org/S14881475
https://openalex.org/W4400948754,https://openalex.org/S37391459
https://openalex.org/W4388424540,https://openalex.org/S9692511
https://openalex.org/W4386380023,https://openalex.org/S4210181540
https://openalex.org/W4321254242,https://openalex.org/S2764969478
https://openalex.org/W3197063311,https://openalex.org/S4210225776
https://openalex.org/W4220706376,https://openalex.org/S4210188283
https://openalex.org/W3046496872,https://openalex.org/S4210235149
https://openalex.org/W4388639388,https://openalex.org/S9070373
https://openalex.org/W2886700507,https://openalex.org/S122867665
https://openalex.org/W4281643269,https://openalex.org/S64187185
https://openalex.org/W4391403992,https://openalex.org/S65690446
https://openalex.org/W4391968719,https://openalex.org/S2596204836
https://openalex.org/W4317625850,https://openalex.org/S10623703
https://openalex.org/W3214404698,https://openalex.org/S7560371
https://openalex.org/W4210361514,https://openalex.org/S4210205812
https://openalex.org/W2898892040,https://openalex.org/S2738348041
https://openalex.org/W4360610309,https://openalex.org/S2912241403
https://openalex.org/W4380988459,https://openalex.org/S85265705
https://openalex.org/W2914940847,https://openalex.org/S4210177699
https://openalex.org/W4378084879,https://openalex.org/S110346167
https://openalex.org/W3010274200,https://openalex.org/S4210195431
https://openalex.org/W4308751002,https://openalex.org/S137519996
https://openalex.org/W4316669402,https://openalex.org/S9692511
